Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number,vehicle_rate
58,"[2, 3]",201.90000000001166,"[56, 56]","[28.150000000000265, 0]","[0, 0]",26,26
59,"[0, 3]",129.44999999999519,"[57, 37]","[2.549999999999999, 0]","[2.549999999999999, 0]",26,26
60,"[2, 3]",203.400000000012,"[58, 58]","[27.75000000000026, 0]","[0, 0]",26,26
61,"[0, 3]",129.44999999999519,"[59, 59]","[0, 0]","[0, 0]",26,26
62,"[2, 1]",173.25000000000514,"[60, -999]","[32.05000000000032, 0]","[0, 0]",26,26
63,"[2, 1]",177.30000000000607,"[62, 62]","[32.05000000000032, 0]","[0, 0]",26,26
64,"[2, 3]",210.25000000001356,"[63, 60]","[33.90000000000021, 0]","[0, 0]",26,26
65,"[2, 1]",183.50000000000747,"[64, 63]","[35.70000000000011, 0]","[0, 0]",26,26
66,"[2, 3]",218.25000000001538,"[65, 64]","[38.84999999999993, 0]","[0, 0]",26,26
67,"[2, 3]",222.20000000001627,"[66, 66]","[45.24999999999957, 0]","[0, 0]",26,26
68,"[0, 3]",117.64999999999546,"[61, 61]","[0, 0]","[0, 0]",26,26
69,"[0, 3]",120.14999999999532,"[68, 68]","[0, 0]","[0, 0]",26,26
70,"[2, 1]",189.25000000000878,"[67, -999]","[47.29999999999945, 0]","[0, 0]",26,26
71,"[0, 1]",92.84999999999687,"[69, 47]","[0, 0]","[0, 0]",26,26
72,"[0, 3]",124.19999999999509,"[71, 69]","[0, 0]","[0, 0]",26,26
73,"[2, 1]",188.20000000000854,"[70, 70]","[42.299999999999734, 0]","[0, 0]",26,26
74,"[0, 1]",94.59999999999677,"[72, 50]","[0, 0]","[0, 0]",26,26
75,"[2, 1]",189.25000000000878,"[73, 73]","[42.24999999999974, 0]","[0, 0]",26,26
76,"[2, 3]",223.1500000000165,"[75, 67]","[43.29999999999968, 0]","[0, 0]",26,26
77,"[2, 3]",227.6000000000175,"[76, 76]","[37.200000000000024, 0]","[0, 0]",26,26
