,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
32,32,"[-9.447807698609871, -10.142208941825661]","[0.6669452889853651, 0.333054711014635]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0.8111973680612472,1.3441907783689793
33,33,"[-6.788733387642282, -7.1745014858638285]","[0.5952635413534654, 0.40473645864653457]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]",0.8136093284290948,1.210946179855595
34,34,"[-6.652629966399904, -7.0155435774954436]","[0.5897455537168276, 0.4102544462831724]","[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0.9729679919147858,1.1763996332219129
35,35,"[-2.5930104045688416, -2.6457895134088893]","[0.5131917150776428, 0.4868082849223571]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1]",0.8265654846512803,0.7458051818429217
36,36,"[-6.296946406075216, -6.613630056679613]","[0.578515820457077, 0.421484179542923]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0.989694847727128,1.1509894609018432
37,37,"[-4.0474695947277395, -4.175278825040443]","[0.5319088829023634, 0.4680911170976367]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1.0439019784682275,0.9535820574294568
38,38,"[-3.1533177182405017, -3.2480059652646416]","[0.5236543908918849, 0.47634560910811513]","[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",0.8035983489726444,0.8527671692332043
39,39,"[-3.5850629247522035, -3.6876378909452203]","[0.525621280697207, 0.47437871930279296]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",1.325877589866273,0.8755512178822417
40,40,"[-4.841435348440395, -5.0597471387566895]","[0.5543622101392046, 0.44563778986079533]","[1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1]",0.9515661693344748,1.0415166559430866
41,41,"[-3.0386862475695473, -3.109387424733855]","[0.5176679352426026, 0.4823320647573974]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0]",1.1438932472293375,0.8054587453134254
42,42,"[-5.7096600919061755, -5.975529835423561]","[0.5660786534021349, 0.4339213465978652]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]",1.1723039566450182,1.0881361502124651
43,43,"[-6.916972340527416, -7.413359301817418]","[0.6216098787762588, 0.37839012122374116]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0.6646440073132189,1.2415084305791804
44,44,"[-3.7427803907305317, -3.8652046966420133]","[0.5305679074319085, 0.4694320925680914]","[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",1.0421528914801972,0.913767683666302
45,45,"[-3.2831523613127396, -3.3825991782866187]","[0.5248412349836657, 0.47515876501633425]","[1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1.0783008830920344,0.8462646286801094
46,46,"[-4.1824939417953475, -4.377571283475267]","[0.5486152612824178, 0.45138473871758217]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0]",0.8252097843538485,0.98672912825224
47,47,"[-2.801254726642685, -2.8626025355770857]","[0.5153321439229983, 0.48466785607700175]","[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",1.5562559066248722,0.7430704590099784
